GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
diplomaturaUTN,com.utn.diplomaturautn.repositroy.impl,CustomRepositoryImpl,5,8,0,0,2,3,1,1,1,1
diplomaturaUTN,com.utn.diplomaturautn.filter,JwtAuthorizationFilter,48,9,6,0,10,4,4,1,1,1
diplomaturaUTN,com.utn.diplomaturautn.enumerated,ClientCondition,0,21,0,0,0,2,0,1,0,1
diplomaturaUTN,com.utn.diplomaturautn.enumerated,EmployeeCondition,0,15,0,0,0,2,0,1,0,1
diplomaturaUTN,com.utn.diplomaturautn.enumerated,UserType,0,21,0,0,0,2,0,1,0,1
diplomaturaUTN,com.utn.diplomaturautn.controller,ProvinceController,18,6,0,0,3,3,3,1,3,1
diplomaturaUTN,com.utn.diplomaturautn.controller,FeeController,11,6,0,0,2,3,2,1,2,1
diplomaturaUTN,com.utn.diplomaturautn.controller,CallController,70,12,0,0,17,5,5,1,5,1
diplomaturaUTN,com.utn.diplomaturautn.controller,PersonController,192,27,0,0,42,10,16,1,16,1
diplomaturaUTN,com.utn.diplomaturautn.controller,BillController,34,9,0,0,8,4,4,1,4,1
diplomaturaUTN,com.utn.diplomaturautn.model,Client,75,143,13,13,21,33,19,13,8,11
diplomaturaUTN,com.utn.diplomaturautn.model,Employee,67,113,11,9,20,28,17,10,8,9
diplomaturaUTN,com.utn.diplomaturautn.model,Phone.PhoneBuilder,6,21,0,0,0,1,1,4,1,4
diplomaturaUTN,com.utn.diplomaturautn.model,City.CityBuilder,22,32,0,0,0,1,3,5,3,5
diplomaturaUTN,com.utn.diplomaturautn.model,Client.ClientBuilder,22,77,0,0,0,1,1,12,1,12
diplomaturaUTN,com.utn.diplomaturautn.model,Call.CallBuilder,27,72,0,0,0,1,2,11,2,11
diplomaturaUTN,com.utn.diplomaturautn.model,Bill.BillBuilder,14,49,0,0,0,1,1,8,1,8
diplomaturaUTN,com.utn.diplomaturautn.model,Employee.EmployeeBuilder,20,70,0,0,0,1,1,11,1,11
diplomaturaUTN,com.utn.diplomaturautn.model,Bill,173,122,34,4,7,10,29,11,10,11
diplomaturaUTN,com.utn.diplomaturautn.model,Call,275,202,62,8,11,14,47,17,12,17
diplomaturaUTN,com.utn.diplomaturautn.model,Province.ProvinceBuilder,13,23,0,0,0,1,2,4,2,4
diplomaturaUTN,com.utn.diplomaturautn.model,Fee,186,127,39,5,8,10,32,11,10,11
diplomaturaUTN,com.utn.diplomaturautn.model,City,70,170,23,17,0,9,25,12,6,11
